adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Восточный,Косино-Ухтомский,"г. москва, ул. салтыковская, д. 6/2, к. 3",22.0,,55.72623000000001,37.86265,,,,,,2022.0,,,,Улица Дмитриевского,2.05,31.0,77:03:0010003:3473,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385212,
Восточный,Косино-Ухтомский,"г. москва, ул. салтыковская, д. 6/2, к. 4",12.0,,55.72556,37.86261,,,,,,2022.0,,,,Улица Дмитриевского,1.95,30.0,77:03:0010003:3695,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385213,
Центральный,Басманный,"г. москва, ул. басманная нов., д. 12, стр. 3",3.0,,55.76868,37.65742,деревянные,Кирпичный,Кирпичные,муниципальный,28.0,1917.0,310.0,,Исправный,Красные Ворота,0.55,8.0,77:01:0003009:1005,7.70000000000627e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=72670,
Северо-Восточный,Алексеевский,"г. москва, ул. староалексеевская, д. 3",20.0,1.0,55.81085,37.64396,,Монолитный,,,,2021.0,270.0,2.0,,Алексеевская,0.45,7.0,77:02:0023012:7928,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353937,
Западный,Кунцево,"г. москва, ул. бобруйская, д. 15/1",11.0,,55.73806999999999,37.39711,,Монолитный,,,,2021.0,267.0,2.0,,Молодежная,1.3,20.0,77:07:0004003:10293,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354907,
Южный,Бирюлево Западное,"г. москва, проезд. харьковский, д. 1/1, к. 2",14.0,,55.59599,37.64967,,,,,,2021.0,,,,Покровская,1.4,21.0,77:05:0009002:13387,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385037,
Северо-Восточный,Бабушкинский,"г. москва, ул. коминтерна, д. 12",17.0,,55.8626,37.677690000000005,Железобетонные,Панельный,,,,2019.0,260.0,2.0,Исправный,Бабушкинская,1.2,18.0,,7.70000000001517e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335243,
Северо-Западный,Тушино Северное,"г. москва, ул. туристская, д. 14",18.0,,55.853530000000006,37.422990000000006,Железобетонные,Монолитный,,,,2021.0,270.0,2.0,Исправный,Сходненская,1.15,17.0,77:08:0003007:14851,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353802,
Северный,Головинский,"г. москва, б-р. кронштадтский, д. 55а",22.0,,55.85369,37.51445,,Монолитный,,,,2021.0,270.0,3.0,Исправный,Моссельмаш,1.3,19.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353974,
Северо-Восточный,Отрадное,"г. москва, ул. олонецкая, д. 21в",22.0,,55.85471999999999,37.61932,,Монолитный,,,,2022.0,268.0,4.0,,Отрадное,1.35,21.0,77:02:0008008:7013,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=315147,
Центральный,Таганский,"г. москва, проезд. сибирский, д. 2, стр. 4",4.0,,55.732119999999995,37.681129999999996,Смешанные,Кирпичный,Кирпичные,муниципальный,95.0,1917.0,,,Исправный,Волгоградский Проспект,0.9,13.0,77:01:0006038:1078,7.70000000000316e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=23095,
Северо-Западный,Тушино Южное,"г. москва, б-р. химкинский, д. 19, к. 1",5.0,,55.8495,37.445040000000006,железобетонные,Кирпичный,Кирпичные,муниципальный,261.0,1964.0,248.0,,Исправный,Сходненская,0.4,6.0,77:08:0004008:1009,7.70000000003028e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=55041,
Северо-Западный,Тушино Южное,"г. москва, б-р. химкинский, д. 19, к. 2",5.0,,55.84941,37.44403,железобетонные,Кирпичный,Кирпичные,муниципальный,289.0,1964.0,248.0,,Исправный,Сходненская,0.35,5.0,77:08:0004008:1010,7.70000000003028e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=71692,
