lot_tag,addr_norm,adm_area,mun_district,metro_name,metro_dist,metro_minutes,addr_floor,total_floors,year_exp_w,реновация,ремонт,qty_rooms,is_qty_rooms_predicted,obj_square,start_price,start_price_m2,final_price,final_price_m2,delta_price,auct_date,investMSK_URL,lot_URL,platform_name,timestamp,building_page,Примечания
#ГП16879971,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,14,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.2,6421760,125425.0,8245539,125425.0,,2020-09-08,https://investmoscow.ru/tenders/tendercard/?TenderId=17612677,https://www.roseltorg.ru/procedure/COM30062000169,ЕЭТП,1599523200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16882156,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,6,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,51.2,6140058,119923.01,9713572,119923.01,,2020-11-12,https://investmoscow.ru/tenders/tendercard/?TenderId=17699297,https://www.roseltorg.ru/procedure/COM10092000073,ЕЭТП,1605139200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879801,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,3,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.6,6200225,117875.0,8717516,117875.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609429,https://www.roseltorg.ru/procedure/COM26062000139,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879747,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,9,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.7,6403630,121511.01,8798587,121511.01,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609469,https://www.roseltorg.ru/procedure/COM26062000114,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16882153,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,11,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.8,6527770,123632.01,9922210,123632.01,,2020-11-12,https://investmoscow.ru/tenders/tendercard/?TenderId=17699066,https://www.roseltorg.ru/procedure/COM10092000080,ЕЭТП,1605139200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879813,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,6,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.8,6316570,119632.01,8615801,119632.01,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609589,https://www.roseltorg.ru/procedure/COM26062000127,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16882148,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,4,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.9,6147721,116214.01,9762580,116214.01,,2020-11-12,https://investmoscow.ru/tenders/tendercard/?TenderId=17699016,https://www.roseltorg.ru/procedure/COM10092000082,ЕЭТП,1605139200,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879800,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,2,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.9,6198346,117171.0,8417353,117171.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609412,https://www.roseltorg.ru/procedure/COM26062000140,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879751,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,10,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,52.9,6458667,122092.0,8770869,122092.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609474,https://www.roseltorg.ru/procedure/COM26062000110,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
#ГП16879745,"г. Москва, аллея. Долгопрудная, д. 14, к. 3",Северо-Восточный, Северный,Долгопрудная,0.5,8.0,10,"от 11 до 14 этажей
",2018,новый дом,,2.0,0,53.0,6464410,121970.0,8429590,121970.0,,2020-09-01,https://investmoscow.ru/tenders/tendercard/?TenderId=17609480,https://www.roseltorg.ru/procedure/COM26062000107,ЕЭТП,1598918400,https://www.reformagkh.ru/myhouse/profile/view/9377359/,
