adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Восточный,Ивановское,"г. москва, ул. челябинская, д. 19, к. 4",16.0,,55.78024,37.828540000000004,железобетонные,Панельный,Крупнопанельные,муниципальный,411.0,1978.0,264.0,1.0,Исправный,Первомайская,2.5,38.0,77:03:0005024:1097,7.7000000000308e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=47522,"челябинская ул., 19к4"
Южный,Орехово-Борисово Северное,"г. москва, ул. шипиловская, д. 23, к. 2",9.0,,55.62255,37.720040000000004,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,1203.0,1974.0,264.0,1.0,Исправный,Домодедовская,1.35,20.0,77:05:0011004:1059,7.70000000000529e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=72158,"шипиловская ул., 23к2"
Северный,Беговой,"г. москва, ул. беговая, д. 24",6.0,,55.78025,37.55944,Деревянные,Кирпичный,Кирпичные,муниципальный,296.0,1929.0,320.0,1.0,Исправный,Беговая,1.1,16.0,77:09:0005015:1035,7.70000000000826e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=42210,"беговая ул., 24"
Северо-Восточный,Останкинский,"г. москва, ул. годовикова, д. 1, к. 1",8.0,,55.80378,37.63021,Железобетонные,Кирпичный,Кирпичные,муниципальный,347.0,1960.0,270.0,1.0,Исправный,Алексеевская,0.75,11.0,77:02:0022014:1005,7.70000000001091e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=44381,"годовикова ул., 1к1"
Южный,Чертаново Южное,"г. москва, ш. варшавское, д. 152, к. 8",17.0,,55.59016,37.59021,железобетонные,Панельный,Крупнопанельные,федеральный,925.0,1992.0,264.0,1.0,Исправный,Улица Академика Янгеля,0.95,14.0,77:05:0008007:1091,7.70000000000476e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=71661,"варшавское ш., 152к8"
Северный,Дмитровский,"г. москва, ул. клязьминская, д. 9, к. 2",16.0,,55.890269999999994,37.52369,Железобетонные,Панельный,Крупнопанельные,муниципальный,1103.0,1982.0,264.0,1.0,Исправный,Лианозово,1.7,26.0,77:09:0002013:1014,7.70000000001485e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=59782,"клязьминская ул., 9к2"
Юго-Западный,Черемушки,"г. москва, пр-кт. нахимовский, д. 61, к. 1",17.0,,55.678580000000004,37.55901,железобетонные,Панельный,Крупнопанельные,муниципальный,255.0,2003.0,264.0,1.0,Исправный,Профсоюзная,0.25,4.0,77:06:0003009:1092,7.70000000001967e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=70466,"нахимовский просп., 61к1"
Северо-Восточный,Медведково Северное,"г. москва, ул. широкая, д. 1, к. 2",9.0,,55.88971,37.65267,Железобетонные,Панельный,Крупнопанельные,муниципальный,606.0,1968.0,264.0,,Исправный,Медведково,0.65,10.0,77:02:0004001:1040,7.70000000003148e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=61105,"широкая ул., 1к2"
Юго-Восточный,Марьино,"г. москва, ул. братиславская, д. 19, к. 1",17.0,,55.65809,37.76123,Железобетонные,Панельный,Крупнопанельные,муниципальный,718.0,1998.0,264.0,1.0,Исправный,Братиславская,0.75,11.0,77:04:0004024:1043,7.70000000007083e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=95998,"братиславская ул., 19к1"
Северный,Ховрино,"г. москва, ул. ляпидевского, д. 8, к. 2",9.0,,55.856609999999996,37.49906,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,339.0,1967.0,264.0,1.0,Исправный,Речной Вокзал,1.5,22.0,77:09:0001013:1018,7.70000000001759e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=55777,"ляпидевского ул., 8к2"
