lot_tag,auct_type,object_type,cadastr_num,adm_area,mun_district,addr_norm,flat_num,qty_rooms,addr_floor,total_floors,is_total_floors_variable,obj_square,start_price,start_price_m2,deposit,auct_step,auct_form,start_applications_date,finish_application_date,participant_selection_date,bidding_date,results_date,inf_sales,inf_food_service,inf_education,inf_cult_and_sport,inf_consumer_services,inf_health_care,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,code_KLADR,global_repair_date,is_renov,renov_period,documentation_expl,documentation_photo,roseltorg_url,torgi_url,investmoscow_url,building_page_url
#ГП16939414,Продажа,Квартира,77:17:0120303:4189,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 19, к. 1",9.0,1,1,25.0,1.0,39.8,7535000,189321.61,376750,75350,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,75,13,4,10,24,5,55.566280000000006,37.47846,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,2.0,Исправный,Коммунарка,0.95,14.0,7.70170000020007e+16,Нет данных,0.0,1.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016301,https://torgi.gov.ru/new/public/notices/view/21000005000000016301,https://investmoscow.ru/tenders/tender/19376541,https://flatinfo.ru/h_info1.asp?hid=242859
#ГП16939461,Продажа,Квартира,77:17:0120303:3290,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 17, к. 1",47.0,2,5,25.0,0.0,45.2,8748000,193539.82,437400,87480,Открытый аукцион в электронной форме,2023-10-27,2023-11-27,2023-12-04,2023-12-07,2023-12-07,78,13,4,14,24,5,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,3.0,Исправный,Коммунарка,1.0,15.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016387,https://torgi.gov.ru/new/public/notices/view/21000005000000016387,https://investmoscow.ru/tenders/tender/19378515,https://flatinfo.ru/h_info1.asp?hid=242858
#ГП16939422,Продажа,Квартира,77:17:0120303:3228,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 17, к. 1",10.0,2,2,25.0,0.0,45.4,9592000,211277.53,479600,95920,Открытый аукцион в электронной форме,2023-10-24,2023-11-27,2023-12-04,2023-12-07,2023-12-07,78,13,4,14,24,5,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,3.0,Исправный,Коммунарка,1.0,15.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016302,https://torgi.gov.ru/new/public/notices/view/21000005000000016302,https://investmoscow.ru/tenders/tender/19376797,https://flatinfo.ru/h_info1.asp?hid=242858
#ГП16939465,Продажа,Квартира,77:17:0120303:3221,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 17, к. 1",7.0,2,1,25.0,0.0,46.5,8251000,177440.86,412550,82510,Открытый аукцион в электронной форме,2023-10-27,2023-11-27,2023-12-04,2023-12-07,2023-12-07,78,13,4,14,24,5,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,3.0,Исправный,Коммунарка,1.0,15.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016385,https://torgi.gov.ru/new/public/notices/view/21000005000000016385,https://investmoscow.ru/tenders/tender/19378871,https://flatinfo.ru/h_info1.asp?hid=242858
#ГП16939453,Продажа,Квартира,77:17:0120303:3279,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 17, к. 1",37.0,2,4,25.0,0.0,45.2,8748000,193539.82,437400,87480,Открытый аукцион в электронной форме,2023-10-25,2023-11-27,2023-12-04,2023-12-07,2023-12-07,78,13,4,14,24,5,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,3.0,Исправный,Коммунарка,1.0,15.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016334,https://torgi.gov.ru/new/public/notices/view/21000005000000016334,https://investmoscow.ru/tenders/tender/19378347,https://flatinfo.ru/h_info1.asp?hid=242858
#ГП16939404,Продажа,Квартира,77:17:0120303:3215,Новомосковский,СП Сосенское,"г. Москва, п. Коммунарка, ул. Фитаревская, д. 17, к. 1",27.0,2,3,25.0,0.0,45.2,9550000,211283.19,477500,95500,Открытый аукцион в электронной форме,2023-10-26,2023-11-27,2023-12-04,2023-12-07,2023-12-07,78,13,4,14,24,5,55.566869999999994,37.47858,Железобетонные,Смешанный тип,Из прочих материалов,Нет данных,-1.0,2013.0,-1.0,3.0,Исправный,Коммунарка,1.0,15.0,7.70170000020007e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016365,https://torgi.gov.ru/new/public/notices/view/21000005000000016365,https://investmoscow.ru/tenders/tender/19374818,https://flatinfo.ru/h_info1.asp?hid=242858
#ГП16939254,Продажа,Квартира,77:01:0006035:2566,Центральный,Таганский,"г. Москва, ул. Калитниковская М., д. 5",63.0,2,2,7.0,0.0,38.9,10248000,263444.73,512400,102480,Открытый аукцион в электронной форме,2023-10-26,2023-11-28,2023-12-05,2023-12-07,2023-12-07,84,8,20,15,24,4,55.73724,37.67767,Железобетонные,Кирпичный,Кирпичные,муниципальный,244.0,1966.0,264.0,1.0,Исправный,Пролетарская,0.95,15.0,7.70000000001419e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016368,https://torgi.gov.ru/new/public/notices/view/21000005000000016368,https://investmoscow.ru/tenders/tender/19373044,https://flatinfo.ru/h_info1.asp?hid=23010
#ГП16939247,Продажа,Квартира,77:09:0001019:5647,Северный,Головинский,"г. Москва, проезд. Конаковский, д. 6, к. 1",78.0,2,10,12.0,0.0,38.0,10083000,265342.11,504150,100830,Открытый аукцион в электронной форме,2023-10-26,2023-11-28,2023-12-05,2023-12-07,2023-12-07,156,17,6,28,19,2,55.846630000000005,37.4823,Железобетонные,Блочный,Крупноблочные,ЖСК - жилищно-строительные кооперативы,-1.0,1966.0,250.0,2.0,Исправный,Водный Стадион,0.85,13.0,7.70000000001527e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016366,https://torgi.gov.ru/new/public/notices/view/21000005000000016366,https://investmoscow.ru/tenders/tender/19372688,https://flatinfo.ru/h_info1.asp?hid=50661
#ГП16939252,Продажа,Квартира,77:09:0001008:15745,Северный,Ховрино,"г. Москва, ул. Дыбенко, д. 2, к. 1",18.0,2,5,17.0,0.0,53.6,13595000,253638.06,679750,135950,Открытый аукцион в электронной форме,2023-10-26,2023-11-28,2023-12-05,2023-12-07,2023-12-07,110,19,4,25,60,3,55.86883,37.48802,Железобетонные,Панельный,Крупнопанельные,муниципальный,488.0,2002.0,264.0,1.0,Исправный,Беломорская,0.9,14.0,7.70000000001254e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,Нет данных,Нет данных,https://investmoscow.ru/tenders/tender/19372873,https://flatinfo.ru/h_info1.asp?hid=77784
#ГП16939250,Продажа,Квартира,77:06:0006005:1426,Юго-Западный,Коньково,"г. Москва, ул. Академика Арцимовича, д. 4",61.0,1,4,12.0,0.0,31.9,8975000,281347.96,448750,89750,Открытый аукцион в электронной форме,2023-10-26,2023-11-28,2023-12-05,2023-12-07,2023-12-07,-1,-1,-1,-1,-1,-1,55.644709999999996,37.51393,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,-1.0,1973.0,264.0,1.0,Исправный,Беляево,0.85,13.0,7.70000000000771e+16,Нет данных,0.0,0.0,Нет данных,Нет данных,https://www.roseltorg.ru/procedure/21000005000000016358,https://torgi.gov.ru/new/public/notices/view/21000005000000016358,https://investmoscow.ru/tenders/tender/19372026,https://flatinfo.ru/h_info1.asp?hid=9730
